year,scholarship_type,scholarship_scheme,student_country,university_name,university_type,university_state,course_level,course_name,specialization,course_duration,available_slots,estimated_selected_students,field_category
2016,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,University of Delhi,Central,Delhi,UG,BSc,Mathematics,3,15,14,Science
2016,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,University of Delhi,Central,Delhi,PG,MSc,Statistics,2,10,9,Science
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Osmania University,State,Telangana,UG,BBA,Business Administration,3,20,18,Business/Management
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Banaras Hindu University,Central,Uttar Pradesh,PG,MSc,Physics,2,8,8,Science
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Gujarat University,State,Gujarat,UG,BBA,Business Administration,3,15,14,Business/Management
2016,Fully Funded,Border Guard Bangladesh Scholarship,Bangladesh,NIT Rourkela,NIT,Odisha,UG,BTech,Mechanical Engineering,4,5,5,Engineering
2016,Fully Funded,Border Guard Bangladesh Scholarship,Bangladesh,NIT Silchar,NIT,Assam,UG,BTech,Civil Engineering,4,5,5,Engineering
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Tripura University,Central,Tripura,PG,MA,Economics,2,10,9,Arts/Humanities
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Tripura University,Central,Tripura,UG,BA,English,3,15,12,Arts/Humanities
2016,Fully Funded,ICCR A2A Portal,Bangladesh,North Eastern Hill University (NEHU),Central,Meghalaya,PG,MSc,Botany,2,8,7,Science
2016,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,Assam University,Central,Assam,UG,BSc,Physics,3,12,10,Science
2016,Fully Funded,Lata Mangeshkar Dance & Music Scholarship,Bangladesh,Rabindra Bharati University,State,West Bengal,UG,BFA,Fine Arts,3,10,9,Arts/Humanities
2016,Fully Funded,Lata Mangeshkar Dance & Music Scholarship,Bangladesh,Rabindra Bharati University,State,West Bengal,PG,MFA,Music,2,8,8,Arts/Humanities
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Visva Bharati University,Central,West Bengal,PG,MA,Sociology,2,10,8,Arts/Humanities
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Kalyani University,State,West Bengal,PG,MSc,Mathematics,2,8,7,Science
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Burdwan University,State,West Bengal,UG,BSc,Chemistry,3,12,10,Science
2016,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,Sikkim University,Central,Sikkim,PG,MA,Economics,2,5,4,Arts/Humanities
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Tezpur University,Central,Assam,PG,MSc,Biotechnology,2,6,5,Science
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Gauhati University,State,Assam,UG,BA,English,3,15,13,Arts/Humanities
2016,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,Jadavpur University,State,West Bengal,UG,BTech,Electrical Engineering,4,8,7,Engineering
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Jadavpur University,State,West Bengal,PG,MA,English,2,10,9,Arts/Humanities
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Calcutta University,State,West Bengal,UG,BSc,Economics,3,15,14,Science
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Calcutta University,State,West Bengal,PG,MSc,Statistics,2,10,8,Science
2016,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,Aligarh Muslim University,Central,Uttar Pradesh,UG,BSc,Computer Science,3,10,9,Technology
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Jamia Milia Islamia,Central,Delhi,UG,BSc,Mathematics,3,12,11,Science
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Mysore University,State,Karnataka,PG,MBA,Business Administration,2,10,8,Business/Management
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Savitribai Phule Pune University,State,Maharashtra,PG,MSc,Computer Science,2,12,10,Technology
2016,Fully Funded,Border Guard Bangladesh Scholarship,Bangladesh,NIT Durgapur,NIT,West Bengal,UG,BTech,Electrical Engineering,4,4,4,Engineering
2016,Fully Funded,Border Guard Bangladesh Scholarship,Bangladesh,NIT Agartala,NIT,Tripura,UG,BTech,Civil Engineering,4,5,4,Engineering
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Assam Agricultural University,State,Assam,UG,BSc,Agriculture,4,10,9,Science
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Mizoram University,Central,Mizoram,PG,MA,Sociology,2,5,4,Arts/Humanities
2016,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,Bangalore University,State,Karnataka,UG,BBA,Business Administration,3,15,15,Business/Management
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Kalinga Institute (KIIT),Deemed,Odisha,UG,BTech,Computer Science,4,10,8,Engineering
2016,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,Vidyasagar University,State,West Bengal,PG,MSc,Botany,2,8,6,Science
2016,Fully Funded,ICCR A2A Portal,Bangladesh,North Bengal University,State,West Bengal,UG,BA,Economics,3,12,10,Arts/Humanities
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Jawaharlal Nehru University (JNU),Central,Delhi,PG,MA,Sociology,2,15,12,Arts/Humanities
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Jawaharlal Nehru University (JNU),Central,Delhi,PhD,PhD,Economics,5,5,4,Arts/Humanities
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Cotton University,State,Assam,UG,BSc,Physics,3,10,9,Science
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Cochin University of Science and Technology,State,Kerala,PG,MSc,Statistics,2,8,6,Science
2016,Fully Funded,ICCR A2A Portal,Bangladesh,Kerala Agricultural University,State,Kerala,UG,BSc,Agriculture,4,6,5,Science
2017,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,University of Delhi,Central,Delhi,UG,BSc,Mathematics,3,15,15,Science
2017,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,University of Delhi,Central,Delhi,PG,MSc,Statistics,2,12,10,Science
2017,Fully Funded,ICCR A2A Portal,Bangladesh,Osmania University,State,Telangana,UG,BBA,Business Administration,3,25,23,Business/Management
2017,Fully Funded,ICCR A2A Portal,Bangladesh,Banaras Hindu University,Central,Uttar Pradesh,UG,BSc,Computer Science,3,15,13,Technology
2017,Fully Funded,ICCR A2A Portal,Bangladesh,Gujarat University,State,Gujarat,UG,BBA,Business Administration,3,20,18,Business/Management
2017,Fully Funded,Border Guard Bangladesh Scholarship,Bangladesh,NIT Rourkela,NIT,Odisha,UG,BTech,Mechanical Engineering,4,6,6,Engineering
2017,Fully Funded,Border Guard Bangladesh Scholarship,Bangladesh,NIT Silchar,NIT,Assam,UG,BTech,Computer Science,4,6,6,Engineering
2017,Fully Funded,ICCR A2A Portal,Bangladesh,Tripura University,Central,Tripura,PG,MA,Economics,2,12,11,Arts/Humanities
2017,Fully Funded,ICCR A2A Portal,Bangladesh,Tripura University,Central,Tripura,UG,BA,English,3,18,15,Arts/Humanities
2017,Fully Funded,ICCR A2A Portal,Bangladesh,North Eastern Hill University (NEHU),Central,Meghalaya,PG,MSc,Botany,2,10,8,Science
2017,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,Assam University,Central,Assam,UG,BSc,Physics,3,15,13,Science
2017,Fully Funded,Lata Mangeshkar Dance & Music Scholarship,Bangladesh,Rabindra Bharati University,State,West Bengal,UG,BFA,Fine Arts,3,12,11,Arts/Humanities
2017,Fully Funded,Lata Mangeshkar Dance & Music Scholarship,Bangladesh,Rabindra Bharati University,State,West Bengal,PG,MFA,Music,2,10,9,Arts/Humanities
2017,Fully Funded,ICCR A2A Portal,Bangladesh,Visva Bharati University,Central,West Bengal,PG,MA,Sociology,2,12,10,Arts/Humanities
2017,Fully Funded,ICCR A2A Portal,Bangladesh,Kalyani University,State,West Bengal,PG,MSc,Mathematics,2,10,8,Science
2017,Fully Funded,ICCR A2A Portal,Bangladesh,Burdwan University,State,West Bengal,UG,BSc,Chemistry,3,15,13,Science
2017,Fully Funded,ICCR (Bangladesh Scholarship Scheme),Bangladesh,Sikkim University,Central,Sikkim,PG,MA,Economics,2,6,5,Arts/Humanities
